,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,precipipitation,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
317,0.47052866,5.6205287,3.5038617,66,96,81.75,1028.1,1030.8,1029.4,1.0,217.64575,6.4799995,43.92,25.109999,3.2189232999999997,12.856389,9.453394
323,0.25052866,11.060528999999999,6.716361999999999,59,96,76.666664,1019.8,1032.0,1026.5499,1.0000001,0.0,1.4399998999999999,73.439995,38.355,2.1477854,29.991007,14.549644
324,5.2805285,9.970528999999999,6.7709446,69,90,81.541664,1016.2,1021.6,1019.3374,0.90000004,127.02128,47.16,74.15999599999999,59.28,20.949274,30.906996000000003,25.183321
325,2.6405284,10.260529,7.2905293,72,94,82.583336,1012.7,1020.4,1016.8542,5.799999,183.85532,2.16,76.32,53.429995999999996,1.0656,30.995274,20.800863
326,5.5705285,9.690529,7.381361500000001,73,90,82.041664,1013.1,1018.7,1016.71655,0.3,41.489357,38.16,69.479996,50.775005,16.2853,28.255985,21.459024
327,5.2805285,8.130529,6.5567784,70,92,81.333336,1017.9,1019.6,1018.72485,0.1,18.510641,29.519999,51.48,38.385002,9.824346,21.111256,15.133067
331,3.7205286,7.7805285,5.920111,76,95,85.291664,1019.7,1025.8,1022.6209,2.1,0.0,1.4399998999999999,16.919998,8.025,1.5069860000000002,9.201411,4.4376287
332,2.3905284,6.0905285000000005,4.5284452,67,90,79.208336,1024.0,1026.5,1025.4083,0.1,0.0,0.71999997,23.759998,10.065,0.5328,9.910653,4.9004064000000005
354,2.2605286,6.7705283,5.003029,53,87,72.5,1014.0,1027.5,1019.55835,1.4,320.3305,9.0,50.399998,31.095001,3.9960000000000004,20.51453,11.676412
360,7.3305286999999995,10.660528999999999,8.503446,82,97,91.041664,1022.0,1028.8,1025.375,0.7,0.0,2.8799999,30.960001000000002,11.37,1.3319999999999999,10.210455,5.7274566
361,2.2505286,8.230528999999999,6.043028,63,97,80.416664,1022.1,1027.6,1024.5542,0.9,547.2042,3.96,37.8,18.599998,1.9210378000000001,15.205816,9.2713995
367,15.220529,23.06053,18.777195000000003,67,87,78.416664,1007.9,1012.6,1009.73334,2.8000002,11.489361,1.4399998999999999,54.0,24.525,1.6848617,22.006638,10.441207
368,13.900529,17.320529999999998,15.455943,59,86,74.583336,1010.8,1015.1,1012.8958,0.2,282.12766,17.28,45.719997,32.46,5.9865956,18.475948000000002,13.534842499999998
370,12.610529,19.270529,16.13803,69,90,80.0,1008.9,1013.4,1010.5166,3.0,29.089537,0.35999998,38.88,11.519999499999999,0.5956885000000001,16.68991,5.572479
371,14.680529,26.12053,19.800114,50,91,74.833336,1001.9,1010.6,1006.4082599999999,3.2,243.19147999999998,5.04,65.88,19.65,3.207881,21.89834,9.175119
